feature,mean_abs_shap
categorical__checking_account_status_A14,0.07326332596606096
categorical__checking_account_status_A11,0.03683178655582354
numeric__duration_months,0.03668818797046182
categorical__savings_account_A61,0.028420530699067293
categorical__credit_history_A34,0.024395159363008817
numeric__credit_amount,0.021303889852295334
categorical__other_installment_plans_A143,0.016192201252004792
numeric__age_years,0.015374151591399498
categorical__savings_account_A65,0.014914838431516362
categorical__housing_A152,0.01426409732556686
categorical__checking_account_status_A12,0.013446462404510369
categorical__other_installment_plans_A141,0.01287104943248976
numeric__installment_rate_pct_income,0.012567016600928243
categorical__property_type_A121,0.011395035193449003
categorical__property_type_A124,0.010702202253188351
categorical__employment_duration_A72,0.009962877111292939
categorical__employment_duration_A74,0.008420667008482142
categorical__personal_status_sex_A93,0.0071096364481980584
categorical__purpose_A43,0.006600832862792313
categorical__housing_A151,0.006540485082290921
categorical__personal_status_sex_A92,0.005827056317367718
categorical__purpose_A41,0.005346750526931187
numeric__present_residence_years,0.00532706003666026
categorical__telephone_A192,0.003652195013444355
categorical__purpose_A40,0.003499263895460431
categorical__job_type_A173,0.003366930829536696
categorical__employment_duration_A75,0.0032204747562973035
categorical__telephone_A191,0.0028329846317434603
categorical__credit_history_A30,0.002786154945925336
categorical__credit_history_A31,0.002737600894148236
categorical__other_debtors_guarantors_A103,0.002593525064373869
categorical__job_type_A174,0.002332371615013544
categorical__purpose_A46,0.002246777202995097
categorical__credit_history_A32,0.0022374841439256467
categorical__employment_duration_A71,0.0022136108839740758
categorical__property_type_A123,0.0021753127958785445
categorical__employment_duration_A73,0.001979794148611933
categorical__foreign_worker_A202,0.0019723007910610354
categorical__foreign_worker_A201,0.0019670035831174924
numeric__existing_credits_count,0.0018973976466633601
categorical__purpose_A42,0.0018764313538592976
categorical__savings_account_A62,0.0016332678936610333
categorical__credit_history_A33,0.0015866094708648663
categorical__savings_account_A63,0.0015630566552594974
categorical__purpose_A49,0.001555368874004844
categorical__job_type_A172,0.0015457610094465682
categorical__savings_account_A64,0.0014186666990017754
categorical__housing_A153,0.0012467430823828306
numeric__liable_people_count,0.001246639299603258
categorical__property_type_A122,0.0010039195217452388
categorical__other_debtors_guarantors_A102,0.0006934272970028001
categorical__checking_account_status_A13,0.0006699216244532319
categorical__other_debtors_guarantors_A101,0.0006518884595535225
categorical__personal_status_sex_A94,0.0004585850945103543
categorical__other_installment_plans_A142,0.00045079193764499173
categorical__personal_status_sex_A91,0.00044829134385067045
categorical__job_type_A171,0.000251200700167018
categorical__purpose_A45,6.578832642367848e-05
categorical__purpose_A44,8.447975192394318e-06
categorical__purpose_A410,0.0
categorical__purpose_A48,0.0
